part_number,description,supplier_code,category_code,quantity,cost,price,margin,margin_percent,supplier_from_group
103549W,STRUT - FORWARD BIMINI,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
103550,STRUT - FORWARD BIMINI,BAR,ACC,0.0,40.0,67.0,27.0,40.29,BAR
103564W,Chair - 2018-20 L Cls Helm,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
103565,CHAIR - L CLASS HELM,BAR,ACC,0.0,850.0,1449.99,599.99,41.37,BAR
103565W,Chair - 2018-20 L Cls Helm,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
103590,"PROP, ENERTIA 16X17 RH",BAR,ACC,0.0,544.5,999.99,455.49,45.54,BAR
103989W,DISPLAY - HOOK 5 CHART,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
103990W,TRANSDUCER - HOOK 5,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104066,HELM - L CLASS,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104070,DECAL - VIP,BAR,ACC,0.0,3.0,5.0,2.0,40.0,BAR
104070W,DECAL - VIP,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104082,BOARD- L CLASS U,BAR,ACC,0.0,100.0,159.99,59.99,37.49,BAR
104161,BIMINI-PWR ARM,BAR,ACC,0.0,800.0,1335.0,535.0,40.07,BAR
104161W,BIMINI-PWR ARM,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104177,BUSBAR - DUAL BUSBAR,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104198W,STRUT - FORWARD BIMINI,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104230,RUBRAIL - C/E CLS SS,BAR,ACC,0.0,50.0,83.5,33.5,40.11,BAR
104231,RUBRAIL - C/E CLS SS,BAR,ACC,0.0,30.0,50.0,20.0,40.0,BAR
104240,"CLEAT - C Cls SS 4.5""",BAR,ACC,8.0,12.0,19.99,7.99,39.96,BAR
104242,"GAUGE - E/L CLS 5""",BAR,ACC,0.0,245.0,334.99,89.99,26.86,BAR
104242W,"GAUGE - E/L CLS 5""",BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104243,GAUGE L/E CLS 5 SPEEDO,BAR,ACC,0.0,105.0,169.99,64.99,38.23,BAR
104243W,GAUGE L/E CLS 5 SPEEDO,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104244,GAUGE-MEDALLION GPS,BAR,ACC,0.0,115.0,191.99,76.99,40.1,BAR
104247,CUP HOLDER SS - C,BAR,ACC,0.0,5.0,8.49,3.49,41.1,BAR
104251W,STERO-C CLS AM/FM,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104252,"SPEAKER - C CLS 6.5""",BAR,ACC,0.0,65.0,109.99,44.99,40.9,BAR
104253,HELM,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104254W,WHEEL C CLS MOLINO,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104267,TANK - C/E CLS 36 GAL,BAR,ACC,0.0,500.0,829.0,329.0,39.68,BAR
104348,FORMED PLASTIC-C/E C;S,BAR,ACC,0.0,50.0,90.0,40.0,44.44,BAR
104348W,Cover - X/C/A/E Cls Fuel,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104351,HELM - C CLS,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104400,HELM-C CLS ABS,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104536,PILLOW - C CLASS,BAR,ACV,0.0,75.0,129.0,54.0,41.86,BAR
104671W,SHOCK - GAS PROP BLK,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
104991,SEAL - HOLLOW D BULB,BAR,ACC,0.0,0.5,1.0,0.5,50.0,BAR
104991W,SEAL - HOLLOW D BULB,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105230,PUMP-750 GPH BILGE FOR,BAR,ACC,0.0,43.0,72.0,29.0,40.27,BAR
105230W,PUMP-750 GPH BILGE FOR,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105306,SPEAKER - L CLS ARCH,BAR,ACC,0.0,0.0,309.99,309.99,100.0,BAR
105306W,SPEAKER - L CLS ARCH,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105327,BUILD KIT - C/E/,BAR,ACC,0.0,420.0,699.99,279.99,39.99,BAR
105358,"LIGHT - 24"" FOLDING",BAR,ACC,0.0,65.0,108.99,43.99,40.36,BAR
105358W,"LIGHT - 24"" FOLDING",BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105377W,SHOCK - GAS PROP BLK,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105385W,PLATE - WEAR PLATE,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105386,UNIT-LUSSO STAND,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105404,CHAIR - 2020 C CLASS,BAR,ACC,0.0,0.0,1399.0,1399.0,100.0,BAR
105405,CHAIR - 2020 C CLASS,BAR,ACC,0.0,0.0,1399.0,1399.0,100.0,BAR
105454,LIGHT - C CLASS DOCK,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105549,CANVAS - DOUBLE,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105672W,SHOCK - GAS PROP BLK,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105684,PAINT - SKIN TOUCH-UP,BAR,ACC,0.0,0.0,118.0,118.0,100.0,BAR
105684W,PAINT - SKIN TOUCH-UP,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105723,SPACER,BAR,ACC,0.0,10.0,17.0,7.0,41.17,BAR
105851,HOLDER - RGB YETI CUP,BAR,ACC,0.0,18.5,30.99,12.49,40.3,BAR
105851W,HOLDER - RGB YETI CUP,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105852,HOLDER - YETI CUP,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105852W,CUP HOLDER - YETI CUP,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
105931,SPEAKER-WAKEBOARD,BAR,ACC,0.5,1350.0,1459.0,109.0,7.47,BAR
105966,RUBRAIL - V/L CLS BOW,BAR,ACC,0.0,175.0,291.65,116.65,39.99,BAR
105972,Rubrail - X/C/A/E Cls Splice,BAR,ACC,0.0,13.3,23.0,9.7,42.17,BAR
105980,Rubrail - X/C/A/E Cls (F),BAR,ACC,0.0,150.0,250.0,100.0,40.0,BAR
105989W,Fastener - 14 x 1.5 Phil,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106007,CANVAS - NARROW BOOT,BAR,ACC,0.0,110.0,183.5,73.5,40.05,BAR
106007W,CANVAS - NARROW BOOT,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
106008,LADDER - WIDE HANDE SS,BAR,ACC,0.0,380.0,633.99,253.99,40.06,BAR
